2023-07-21 06:56:39,654-INFO-Exception : n9ZnfBHhdnt11vZ - ORA-06550: line 1, column 7:
PLS-00221: 'SLT_CUST_FEATURE_UPD_API' is not a procedure or is undefined
ORA-06550: line 1, column 7:
2023-09-07 11:15:16,955-INFO-DB conn : ovCcFfjTyovb2FN - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-09-07 11:15:16,955-INFO-Cursor conn : ovCcFfjTyovb2FN @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-09-07 11:15:16,968-INFO-Revenue : ovCcFfjTyovb2FN @2 Service feature value 'Y' updated Scucessfully for this BB Number
2023-09-07 11:15:27,327-INFO-DB conn : xIeWHiJ0sHZaIHZ - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-09-07 11:15:27,328-INFO-Cursor conn : xIeWHiJ0sHZaIHZ @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-09-07 11:15:27,345-INFO-Revenue : xIeWHiJ0sHZaIHZ @2 Service feature value 'N' updated Scucessfully for this BB Number
2023-09-13 08:24:42,564-INFO-DB conn : yBen0wA5GS0MHLU - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-09-13 08:24:42,564-INFO-Cursor conn : yBen0wA5GS0MHLU @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-09-13 08:24:42,680-INFO-Revenue : yBen0wA5GS0MHLU @2 Service feature value 'Y' updated Scucessfully for this BB Number
2023-09-13 08:24:58,703-INFO-DB conn : UmzzgczUs3ciWNK - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-09-13 08:24:58,704-INFO-Cursor conn : UmzzgczUs3ciWNK @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-09-13 08:24:58,720-INFO-Revenue : UmzzgczUs3ciWNK @2 Service feature value 'Y' updated Scucessfully for this BB Number
2023-09-13 08:37:42,928-INFO-DB conn : FHX73fXGmZ6S2TY - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-09-13 08:37:42,928-INFO-Cursor conn : FHX73fXGmZ6S2TY @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-09-13 08:37:42,959-INFO-Revenue : FHX73fXGmZ6S2TY @2 Service feature value 'Y' updated Scucessfully for this BB Number
2023-09-13 08:37:43,057-INFO-DB conn : qy9ma4G27KyVA9h - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-09-13 08:37:43,057-INFO-Cursor conn : qy9ma4G27KyVA9h @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-09-13 08:37:43,109-INFO-Revenue : qy9ma4G27KyVA9h @2 Service feature value 'Y' updated Scucessfully for this BB Number
2023-09-13 08:45:02,511-INFO-DB conn : bJPbU4Ow1UotbbQ - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-09-13 08:45:02,512-INFO-Cursor conn : bJPbU4Ow1UotbbQ @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-09-13 08:45:02,529-INFO-Revenue : bJPbU4Ow1UotbbQ @2 Service feature value 'Y' updated Scucessfully for this BB Number
2023-09-13 08:45:02,654-INFO-DB conn : wjuAQqzoC9a9oMw - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-09-13 08:45:02,655-INFO-Cursor conn : wjuAQqzoC9a9oMw @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-09-13 08:45:02,687-INFO-Revenue : wjuAQqzoC9a9oMw @2 Service feature value 'Y' updated Scucessfully for this BB Number
2023-09-13 08:45:48,265-INFO-DB conn : XUhf3YhCYHhRm3F - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-09-13 08:45:48,265-INFO-Cursor conn : XUhf3YhCYHhRm3F @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-09-13 08:45:48,389-INFO-Revenue : XUhf3YhCYHhRm3F @2 Service feature value 'Y' updated Scucessfully for this BB Number
2023-09-13 08:45:48,511-INFO-DB conn : BXaLOTxpLXmGgWQ - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-09-13 08:45:48,511-INFO-Cursor conn : BXaLOTxpLXmGgWQ @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-09-13 08:45:48,553-INFO-Revenue : BXaLOTxpLXmGgWQ @2 Service feature value 'Y' updated Scucessfully for this BB Number
2023-09-13 08:45:48,656-INFO-DB conn : rWQiiLGXXb40TVB - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-09-13 08:45:48,656-INFO-Cursor conn : rWQiiLGXXb40TVB @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-09-13 08:45:48,690-INFO-Revenue : rWQiiLGXXb40TVB @2 Service feature value 'Y' updated Scucessfully for this BB Number
2023-09-13 08:45:48,826-INFO-DB conn : qccfcghvHRRFQSH - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-09-13 08:45:48,826-INFO-Cursor conn : qccfcghvHRRFQSH @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-09-13 08:45:48,866-INFO-Revenue : qccfcghvHRRFQSH @2 Service feature value 'Y' updated Scucessfully for this BB Number
2023-09-13 08:45:48,967-INFO-DB conn : EfH2eDEXqVJYgVJ - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-09-13 08:45:48,967-INFO-Cursor conn : EfH2eDEXqVJYgVJ @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-09-13 08:45:49,021-INFO-Revenue : EfH2eDEXqVJYgVJ @2 Service feature value 'Y' updated Scucessfully for this BB Number
2023-09-13 08:45:49,134-INFO-DB conn : uHTxs6Qd5VHBeSf - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-09-13 08:45:49,134-INFO-Cursor conn : uHTxs6Qd5VHBeSf @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-09-13 08:45:49,195-INFO-Revenue : uHTxs6Qd5VHBeSf @2 Service feature value 'Y' updated Scucessfully for this BB Number
